1403715281362142976.000000 -0.034854501 -0.220012382 0.104417413 0.012181450 0.146171078 0.062695324 0.987195492
1403715282062142976.000000 -0.040959738 -0.245859340 0.185632065 0.002485666 0.316353977 0.127886966 0.939978182
1403715282662142976.000000 -0.034754157 -0.250715494 0.282015055 -0.001793563 0.454815477 0.176061571 0.873007476
1403715283012143104.000000 -0.031137407 -0.253380954 0.351264238 0.006752084 0.523408592 0.205049992 0.827014148
1403715297562142976.000000 0.972341776 0.156848744 -0.512315094 -0.009891058 0.113369994 0.063778348 0.991454363
1403715298012143104.000000 1.077045798 0.158485979 -0.477038831 0.033513799 0.027978081 0.043622907 0.998093784
1403715298512143104.000000 1.212633491 0.160195008 -0.456238836 0.035359576 -0.040544845 -0.063154861 0.996552706
1403715298812143104.000000 1.243819952 0.156598970 -0.465979397 0.034220688 -0.036870599 -0.086440444 0.994986236
1403715299462142976.000000 1.178193092 0.127638355 -0.479321241 -0.007840172 -0.142898351 -0.041910641 0.988818526
1403715299812143104.000000 1.136400938 0.100014955 -0.442168862 0.009733423 -0.233728126 -0.072947234 0.969512820
1403715300312143104.000000 1.092956305 0.060600035 -0.360190749 0.048894096 -0.329010963 -0.122856259 0.935022771
1403715301562142976.000000 1.132613301 0.039485022 -0.305076957 0.054613344 -0.316454738 -0.119759738 0.939431489
1403715302712143104.000000 1.195869446 0.152836829 -0.489762425 0.014212026 -0.286226928 -0.109161697 0.951817214
1403715303162142976.000000 1.175882459 0.191646427 -0.555060029 -0.009830320 -0.316273659 -0.125104964 0.940331340
1403715303312143104.000000 1.161145210 0.199539319 -0.567135215 0.004758521 -0.351540983 -0.141092122 0.925467134
